"File","LineNumber","Pattern","Text"
"D:\jsp\van_doc_1\addf\src\main\java\com\bot\ncl\adapter\event\app\lsnr\ADDFLsnr.java","408","fileName","// 010700     CHANGE  ATTRIBUTE FILENAME OF FD-ADDF TO WK-PUTDIR."
"D:\jsp\van_doc_1\addf\src\main\java\com\bot\ncl\adapter\event\app\lsnr\ADDFLsnr.java","67","outputFile","private String outputFilePath; // 產檔路徑"
"D:\jsp\van_doc_1\addf\src\main\java\com\bot\ncl\adapter\event\app\lsnr\ADDFLsnr.java","132","outputFile","textFile.writeFileContent(outputFilePath, fileADDFContents, CHARSET);"
"D:\jsp\van_doc_1\addf\src\main\java\com\bot\ncl\adapter\event\app\lsnr\ADDFLsnr.java","409","outputFile","outputFilePath ="
"D:\jsp\van_doc_1\addf\src\main\java\com\bot\ncl\adapter\in\svc\ADDF__I.java","11","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\addf\src\main\java\com\bot\ncl\adapter\out\svc\ADDF_S000_O.java","12","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\analy_emailrtn\src\main\java\com\bot\ncl\adapter\in\svc\ANALY_EMAILRTN_I.java","7","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\analy_mainrtn\src\main\java\com\bot\ncl\adapter\in\svc\ANALY_MAINRTN_I.java","7","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\analy_mgedtl\src\main\java\com\bot\ncl\adapter\event\app\lsnr\Analy_mgedtlLsnr.java","113","fileName","// 006500     CHANGE  ATTRIBUTE FILENAME  OF FD-UPLDIR TO WK-UPLDIR."
"D:\jsp\van_doc_1\analy_mgedtl\src\main\java\com\bot\ncl\adapter\event\app\lsnr\Analy_mgedtlLsnr.java","136","fileName","private boolean isNullOrEmpty(String fileName) {"
"D:\jsp\van_doc_1\analy_mgedtl\src\main\java\com\bot\ncl\adapter\event\app\lsnr\Analy_mgedtlLsnr.java","138","fileName","return Objects.isNull(fileName) || fileName.trim().isEmpty();"
