"File","LineNumber","Text"
"D:\jsp\van_doc_1\c009m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C009mLsnr.java","390","        stringBuilder3.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c0153\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0153Lsnr.java","330","        stringBuilder3.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","369","        hdsb3.append(formatUtil.padX(""報表名稱：C016"", 18));"
"D:\jsp\van_doc_1\c019\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C019Lsnr.java","217","        stringBuilder2.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c060\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060Lsnr.java","387","        hdsb2.append(formatUtil.padX("" 報表名稱： C060"", 20));"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","291","            // 009000    03 FILLER          PIC X(12)  VALUE  "" 報表名稱： ""."
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","298","            sb.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","454","            // 008300    03 FILLER          PIC X(12)  VALUE  "" 報表名稱： ""."
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","461","            sb.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c061\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C061Lsnr.java","365","        // 010200      "" 報表名稱： ""."
"D:\jsp\van_doc_1\c061\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C061Lsnr.java","372","        sb.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c061\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C061Lsnr.java","737","        // 010200      "" 報表名稱： ""."
"D:\jsp\van_doc_1\c061\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C061Lsnr.java","744","        sb.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c063\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C063Lsnr.java","341","                    sb.append(""                                                 報表名稱： "");"
"D:\jsp\van_doc_1\c064\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C064Lsnr.java","339","                    sb.append(""                                        報表名稱： "");"
"D:\jsp\van_doc_1\c065\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C065Lsnr.java","278","        stringBuilder3.append(formatUtil.padX(""報表名稱： "", 12));"
"D:\jsp\van_doc_1\c066\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C066Lsnr.java","334","        stringBuilder4.append(formatUtil.padX(""報表名稱："", 12));"
"D:\jsp\van_doc_1\c067\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C067Lsnr.java","303","                    sb.append(""                                        報表名稱： "");"
"D:\jsp\van_doc_1\c068\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C068Lsnr.java","288","        //      "" 報表名稱： ""."
"D:\jsp\van_doc_1\c068\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C068Lsnr.java","293","        sb.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c069\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C069Lsnr.java","299","        //      "" 報表名稱： ""."
"D:\jsp\van_doc_1\c069\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C069Lsnr.java","304","        sb.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c073\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C073Lsnr.java","443","        hdsb2.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c074\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C074Lsnr.java","442","        hdsb3.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c077\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C077Lsnr.java","555","        // 008000      "" 報表名稱： "".                                             95/03/30"
"D:\jsp\van_doc_1\c077\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C077Lsnr.java","562","        sb.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c077_rpt\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C077_RPTLsnr.java","238","        stringBuilder2.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c078\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C078Lsnr.java","512","        //      "" 報表名稱： ""."
"D:\jsp\van_doc_1\c078\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C078Lsnr.java","517","        sb.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c079\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C079Lsnr.java","249","        //       05  COLUMN  67  PIC X(12)  VALUE "" 報表名稱： ""."
"D:\jsp\van_doc_1\c079\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C079Lsnr.java","256","        sb.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c080\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C080Lsnr.java","268","        //       05  COLUMN  67  PIC X(12)  VALUE "" 報表名稱： ""."
"D:\jsp\van_doc_1\c080\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C080Lsnr.java","274","        sb.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c087\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C087Lsnr.java","430","        // 006600      "" 報表名稱： CL-C087""."
"D:\jsp\van_doc_1\c087\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C087Lsnr.java","438","        sb.append(formatUtil.padX("" 報表名稱： CL-C087"", 25));"
"D:\jsp\van_doc_1\c087\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C087Lsnr.java","621","        //// 報表名稱： CL-C087 改為 CL-C087-4"
"D:\jsp\van_doc_1\c087\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C087Lsnr.java","627","        // 006600      "" 報表名稱： CL-C087""."
"D:\jsp\van_doc_1\c087\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C087Lsnr.java","635","        sb.append(formatUtil.padX("" 報表名稱： CL-C087-4"", 27));"
"D:\jsp\van_doc_1\c088\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C088Lsnr.java","664","        // 009200       "" 報表名稱： ""."
"D:\jsp\van_doc_1\c088\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C088Lsnr.java","674","        sb.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\c0891\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0891Lsnr.java","353","        // 005000       "" 報表名稱： C089-1""."
"D:\jsp\van_doc_1\c0891\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0891Lsnr.java","360","        sb.append(formatUtil.padX("" 報表名稱： C089-1"", 18));"
"D:\jsp\van_doc_1\c0892\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0892Lsnr.java","310","        // 005000       "" 報表名稱： C089-2""."
"D:\jsp\van_doc_1\c0892\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0892Lsnr.java","317","        sb.append(formatUtil.padX("" 報表名稱： C089-2"", 18));"
"D:\jsp\van_doc_1\conv19\src\main\java\com\bot\ncl\adapter\event\app\lsnr\Conv19Lsnr.java","277","        stringBuilderH3.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\conv361689\src\main\java\com\bot\ncl\adapter\event\app\lsnr\Conv361689Lsnr.java","406","        sbH2.append(formatUtil.padX("" 報表名稱： "", 12));"
"D:\jsp\van_doc_1\rpt017\src\main\java\com\bot\ncl\adapter\event\app\lsnr\Rpt017Lsnr.java","298","        stringBuilder5.append(formatUtil.padX("" 報表名稱:C017"", 16));"
